id,task_id,task,code,error_type
3,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)
    i = i + 2",Correct
334,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)
    i = i",Update_Error
410,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)",Infinite_Loop
71,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
    n = n // 10
print(count)",Correct
210,2,Print even numbers from 2 to 20,"i = 2
while i == 20:
    print(i)
    i = i + 2",Condition_Error
64,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Correct
385,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)
    i = i + 2",Update_Error
94,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
    i = i + 1
print(fact)",Correct
486,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
print(fact)",Infinite_Loop
186,6,Calculate factorial of a number,"n = 5
i = 0
fact = 1
while i <= n:
    fact = fact * i
    i = i + 1
print(fact)",Initialization_Error
34,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)
    i = i + 2",Correct
78,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
    i = i + 1
print(fact)",Correct
1,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)
    i = i + 1",Correct
12,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
    i = i + 1
print(total)",Correct
416,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
print(reverse)",Infinite_Loop
23,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
    n = n // 10
print(count)",Correct
73,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)
    i = i + 1",Correct
183,3,Print odd numbers from 1 to 19,"i = 4
while i <= 19:
    print(i)
    i = i + 2",Initialization_Error
132,8,Reverse a number,"n = 12345
reverse = 12345
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Initialization_Error
411,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)",Infinite_Loop
194,6,Calculate factorial of a number,"n = 5
i = -1
fact = 1
while i <= n:
    fact = fact * i
    i = i + 1
print(fact)",Initialization_Error
56,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Correct
149,1,Print numbers from 1 to 10,"i = 5
while i <= 10:
    print(i)
    i = i + 1",Initialization_Error
19,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)
    i = i + 2",Correct
205,5,Print numbers from 10 to 1 in reverse,"i = 10
while i == 1:
    print(i)
    i = i - 1",Condition_Error
79,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
    n = n // 10
print(count)",Correct
495,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
print(count)",Infinite_Loop
263,7,Count digits in a number,"n = 12345
count = 0
while n >= 10:
    count = count + 1
    n = n // 10
print(count)",Condition_Error
324,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 100
print(reverse)",Update_Error
484,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
print(total)",Infinite_Loop
80,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Correct
40,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Correct
452,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
print(total)",Infinite_Loop
47,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
    n = n // 10
print(count)",Correct
239,7,Count digits in a number,"n = 12345
count = 0
while n == 0:
    count = count + 1
    n = n // 10
print(count)",Condition_Error
392,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
    i = i + 2
print(total)",Update_Error
353,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)
    i = i",Update_Error
342,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)
    i = i - 2",Update_Error
278,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i > n:
    fact = fact * i
    i = i + 1
print(fact)",Condition_Error
291,3,Print odd numbers from 1 to 19,"i = 1
while i < 19:
    print(i)
    i = i + 2",Condition_Error
318,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)
    i = i + 4",Update_Error
305,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)
    i = i + 2",Update_Error
269,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 10:
    print(i)
    i = i - 1",Condition_Error
70,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
    i = i + 1
print(fact)",Correct
456,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
print(reverse)",Infinite_Loop
466,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)",Infinite_Loop
155,7,Count digits in a number,"n = 12345
count = 123
while n > 0:
    count = count + 1
    n = n // 10
print(count)",Initialization_Error
83,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)
    i = i + 2",Correct
478,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
print(fact)",Infinite_Loop
173,1,Print numbers from 1 to 10,"i = -1
while i <= 10:
    print(i)
    i = i + 1",Initialization_Error
322,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
    i = i + 2
print(fact)",Update_Error
91,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)
    i = i + 2",Correct
181,1,Print numbers from 1 to 10,"i = 0
while i <= 10:
    print(i)
    i = i + 1",Initialization_Error
415,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
print(count)",Infinite_Loop
313,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)
    i = i",Update_Error
279,7,Count digits in a number,"n = 12345
count = 0
while n == 0:
    count = count + 1
    n = n // 10
print(count)",Condition_Error
382,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)
    i = i - 2",Update_Error
473,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)",Infinite_Loop
363,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
    n = n
print(count)",Update_Error
325,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)
    i = i",Update_Error
432,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
print(reverse)",Infinite_Loop
348,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n
print(reverse)",Update_Error
87,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
    n = n // 10
print(count)",Correct
76,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
    i = i + 1
print(total)",Correct
439,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
print(count)",Infinite_Loop
16,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Correct
250,2,Print even numbers from 2 to 20,"i = 2
while i == 20:
    print(i)
    i = i + 2",Condition_Error
434,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)",Infinite_Loop
20,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
    i = i + 1
print(total)",Correct
323,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
    n = n
print(count)",Update_Error
333,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)
    i = i - 2",Update_Error
57,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)
    i = i + 1",Correct
302,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)
    i = i - 2",Update_Error
230,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i == n:
    fact = fact * i
    i = i + 1
print(fact)",Condition_Error
332,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n + 10
print(reverse)",Update_Error
133,1,Print numbers from 1 to 10,"i = -1
while i <= 10:
    print(i)
    i = i + 1",Initialization_Error
138,6,Calculate factorial of a number,"n = 5
i = 3
fact = 1
while i <= n:
    fact = fact * i
    i = i + 1
print(fact)",Initialization_Error
424,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
print(reverse)",Infinite_Loop
336,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
    i = i - 1
print(total)",Update_Error
26,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)
    i = i + 2",Correct
465,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)",Infinite_Loop
282,2,Print even numbers from 2 to 20,"i = 2
while i >= 20:
    print(i)
    i = i + 2",Condition_Error
248,8,Reverse a number,"n = 12345
reverse = 0
while n >= 10:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Condition_Error
238,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i > n:
    fact = fact * i
    i = i + 1
print(fact)",Condition_Error
118,2,Print even numbers from 2 to 20,"i = 4
while i <= 20:
    print(i)
    i = i + 2",Initialization_Error
43,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)
    i = i + 2",Correct
221,5,Print numbers from 10 to 1 in reverse,"i = 10
while i > 1:
    print(i)
    i = i - 1",Condition_Error
177,5,Print numbers from 10 to 1 in reverse,"i = 11
while i >= 1:
    print(i)
    i = i - 1",Initialization_Error
321,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)
    i = i + 1",Update_Error
154,6,Calculate factorial of a number,"n = 5
i = -1
fact = 1
while i <= n:
    fact = fact * i
    i = i + 1
print(fact)",Initialization_Error
232,8,Reverse a number,"n = 12345
reverse = 0
while n < 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Condition_Error
228,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i > n:
    total = total + i
    i = i + 1
print(total)",Condition_Error
418,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)",Infinite_Loop
204,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n - 1:
    total = total + i
    i = i + 1
print(total)",Condition_Error
127,3,Print odd numbers from 1 to 19,"i = 2
while i <= 19:
    print(i)
    i = i + 2",Initialization_Error
330,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
    i = i - 2
print(fact)",Update_Error
32,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Correct
114,6,Calculate factorial of a number,"n = 5
i = -1
fact = 1
while i <= n:
    fact = fact * i
    i = i + 1
print(fact)",Initialization_Error
471,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
print(count)",Infinite_Loop
272,8,Reverse a number,"n = 12345
reverse = 0
while n < 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Condition_Error
141,1,Print numbers from 1 to 10,"i = 0
while i <= 10:
    print(i)
    i = i + 1",Initialization_Error
58,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)
    i = i + 2",Correct
193,5,Print numbers from 10 to 1 in reverse,"i = 5
while i >= 1:
    print(i)
    i = i - 1",Initialization_Error
25,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)
    i = i + 1",Correct
18,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)
    i = i + 2",Correct
266,2,Print even numbers from 2 to 20,"i = 2
while i < 20:
    print(i)
    i = i + 2",Condition_Error
67,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)
    i = i + 2",Correct
209,1,Print numbers from 1 to 10,"i = 1
while i <= 9:
    print(i)
    i = i + 1",Condition_Error
480,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
print(reverse)",Infinite_Loop
95,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
    n = n // 10
print(count)",Correct
254,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n - 1:
    fact = fact * i
    i = i + 1
print(fact)",Condition_Error
267,3,Print odd numbers from 1 to 19,"i = 1
while i >= 19:
    print(i)
    i = i + 2",Condition_Error
24,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Correct
223,7,Count digits in a number,"n = 12345
count = 0
while n >= 10:
    count = count + 1
    n = n // 10
print(count)",Condition_Error
262,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i >= n:
    fact = fact * i
    i = i + 1
print(fact)",Condition_Error
427,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)",Infinite_Loop
6,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
    i = i + 1
print(fact)",Correct
117,1,Print numbers from 1 to 10,"i = 2
while i <= 10:
    print(i)
    i = i + 1",Initialization_Error
46,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
    i = i + 1
print(fact)",Correct
17,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)
    i = i + 1",Correct
463,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
print(count)",Infinite_Loop
358,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)
    i = i + 4",Update_Error
4,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
    i = i + 1
print(total)",Correct
219,3,Print odd numbers from 1 to 19,"i = 1
while i <= 17:
    print(i)
    i = i + 2",Condition_Error
406,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
print(fact)",Infinite_Loop
61,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)
    i = i - 1",Correct
111,3,Print odd numbers from 1 to 19,"i = 0
while i <= 19:
    print(i)
    i = i + 2",Initialization_Error
319,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)
    i = i",Update_Error
429,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)",Infinite_Loop
30,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
    i = i + 1
print(fact)",Correct
438,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
print(fact)",Infinite_Loop
472,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
print(reverse)",Infinite_Loop
27,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)
    i = i + 2",Correct
8,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Correct
454,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
print(fact)",Infinite_Loop
109,1,Print numbers from 1 to 10,"i = 5
while i <= 10:
    print(i)
    i = i + 1",Initialization_Error
38,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
    i = i + 1
print(fact)",Correct
158,2,Print even numbers from 2 to 20,"i = 4
while i <= 20:
    print(i)
    i = i + 2",Initialization_Error
490,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)",Infinite_Loop
119,3,Print odd numbers from 1 to 19,"i = -1
while i <= 19:
    print(i)
    i = i + 2",Initialization_Error
115,7,Count digits in a number,"n = 12345
count = 123
while n > 0:
    count = count + 1
    n = n // 10
print(count)",Initialization_Error
176,4,Calculate sum of numbers from 1 to N,"n = 10
i = 0
total = 0
while i <= n:
    total = total + i
    i = i + 1
print(total)",Initialization_Error
374,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)
    i = i",Update_Error
182,2,Print even numbers from 2 to 20,"i = 1
while i <= 20:
    print(i)
    i = i + 2",Initialization_Error
145,5,Print numbers from 10 to 1 in reverse,"i = 1
while i >= 1:
    print(i)
    i = i - 1",Initialization_Error
370,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
    i = i - 2
print(fact)",Update_Error
391,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)
    i = i + 1",Update_Error
196,8,Reverse a number,"n = 12345
reverse = 1
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Initialization_Error
405,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)",Infinite_Loop
276,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i < n:
    total = total + i
    i = i + 1
print(total)",Condition_Error
455,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
print(count)",Infinite_Loop
142,2,Print even numbers from 2 to 20,"i = 1
while i <= 20:
    print(i)
    i = i + 2",Initialization_Error
366,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)
    i = i + 1",Update_Error
68,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
    i = i + 1
print(total)",Correct
211,3,Print odd numbers from 1 to 19,"i = 1
while i < 19:
    print(i)
    i = i + 2",Condition_Error
169,5,Print numbers from 10 to 1 in reverse,"i = 0
while i >= 1:
    print(i)
    i = i - 1",Initialization_Error
494,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
print(fact)",Infinite_Loop
376,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
    i = i - 1
print(total)",Update_Error
401,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)",Infinite_Loop
273,1,Print numbers from 1 to 10,"i = 1
while i > 10:
    print(i)
    i = i + 1",Condition_Error
110,2,Print even numbers from 2 to 20,"i = 20
while i <= 20:
    print(i)
    i = i + 2",Initialization_Error
249,1,Print numbers from 1 to 10,"i = 1
while i <= 9:
    print(i)
    i = i + 1",Condition_Error
146,6,Calculate factorial of a number,"n = 5
i = 0
fact = 1
while i <= n:
    fact = fact * i
    i = i + 1
print(fact)",Initialization_Error
93,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)
    i = i - 1",Correct
153,5,Print numbers from 10 to 1 in reverse,"i = 5
while i >= 1:
    print(i)
    i = i - 1",Initialization_Error
368,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
    i = i
print(total)",Update_Error
468,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
print(total)",Infinite_Loop
84,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
    i = i + 1
print(total)",Correct
246,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i < n:
    fact = fact * i
    i = i + 1
print(fact)",Condition_Error
166,2,Print even numbers from 2 to 20,"i = 0
while i <= 20:
    print(i)
    i = i + 2",Initialization_Error
164,8,Reverse a number,"n = 12345
reverse = 10
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Initialization_Error
200,4,Calculate sum of numbers from 1 to N,"n = 10
i = 5
total = 0
while i <= n:
    total = total + i
    i = i + 1
print(total)",Initialization_Error
229,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 10:
    print(i)
    i = i - 1",Condition_Error
75,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)
    i = i + 2",Correct
479,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
print(count)",Infinite_Loop
359,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)
    i = i",Update_Error
251,3,Print odd numbers from 1 to 19,"i = 1
while i < 19:
    print(i)
    i = i + 2",Condition_Error
120,4,Calculate sum of numbers from 1 to N,"n = 10
i = 5
total = 0
while i <= n:
    total = total + i
    i = i + 1
print(total)",Initialization_Error
311,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)
    i = i + 1",Update_Error
300,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i == n:
    total = total + i
    i = i + 1
print(total)",Condition_Error
256,8,Reverse a number,"n = 12345
reverse = 0
while n >= 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Condition_Error
355,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
    n = n * 10
print(count)",Update_Error
400,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
    i = i - 2
print(total)",Update_Error
226,2,Print even numbers from 2 to 20,"i = 2
while i < 20:
    print(i)
    i = i + 2",Condition_Error
354,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
    i = i * 2
print(fact)",Update_Error
235,3,Print odd numbers from 1 to 19,"i = 1
while i == 19:
    print(i)
    i = i + 2",Condition_Error
383,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)
    i = i + 4",Update_Error
275,3,Print odd numbers from 1 to 19,"i = 1
while i == 19:
    print(i)
    i = i + 2",Condition_Error
37,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)
    i = i - 1",Correct
197,1,Print numbers from 1 to 10,"i = 2
while i <= 10:
    print(i)
    i = i + 1",Initialization_Error
140,8,Reverse a number,"n = 12345
reverse = 5
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Initialization_Error
365,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)
    i = i",Update_Error
245,5,Print numbers from 10 to 1 in reverse,"i = 10
while i == 1:
    print(i)
    i = i - 1",Condition_Error
440,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
print(reverse)",Infinite_Loop
287,7,Count digits in a number,"n = 12345
count = 0
while n < 0:
    count = count + 1
    n = n // 10
print(count)",Condition_Error
60,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
    i = i + 1
print(total)",Correct
112,4,Calculate sum of numbers from 1 to N,"n = 10
i = 2
total = 0
while i <= n:
    total = total + i
    i = i + 1
print(total)",Initialization_Error
90,2,Print even numbers from 2 to 20,"i = 2
while i <= 20:
    print(i)
    i = i + 2",Correct
437,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)",Infinite_Loop
7,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
    n = n // 10
print(count)",Correct
361,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)
    i = i + 1",Update_Error
